sel,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Blinding Lights,The Weeknd,canadian contemporary r&b,2020,171,73,51,-6,9,33,200,0,6,93
2,Watermelon Sugar,Harry Styles,pop,2019,95,82,55,-4,34,56,174,12,5,90
3,Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11,45,182,75,3,89
4,lovely (with Khalid),Billie Eilish,art pop,2018,115,30,35,-10,10,12,200,93,3,89
5,Mood (feat. iann dior),24kGoldn,cali rap,2021,91,72,70,-4,32,73,141,17,4,89
6,Circles,Post Malone,dfw rap,2019,120,76,70,-3,9,55,215,19,4,88
7,goosebumps,Travis Scott,rap,2016,130,73,84,-3,15,43,244,8,5,87
8,Lucid Dreams,Juice WRLD,chicago rap,2018,84,57,51,-7,34,22,240,35,20,87
9,Memories,Maroon 5,pop,2021,91,33,78,-7,8,60,189,84,6,87
10,bad guy,Billie Eilish,art pop,2019,135,43,70,-11,10,56,194,33,38,87
11,ROCKSTAR (feat. Roddy Ricch),DaBaby,north carolina hip hop,2020,90,69,75,-8,10,50,182,25,16,86
12,death bed (coffee for your head),Powfu,sad rap,2020,144,43,73,-9,70,35,173,73,14,86
13,Before You Go,Lewis Capaldi,pop,2019,112,57,46,-5,9,18,215,60,6,86
14,Adore You,Harry Styles,pop,2019,99,77,68,-4,10,57,207,2,5,86
15,HIGHEST IN THE ROOM,Travis Scott,rap,2019,76,43,60,-9,21,6,176,5,3,86
16,Godzilla (feat. Juice WRLD),Eminem,detroit hip hop,2020,166,75,81,-5,29,83,211,14,34,86
17,Stuck with U (with Justin Bieber),Ariana Grande,dance pop,2020,179,45,60,-7,38,54,228,22,4,86
18,SICKO MODE,Travis Scott,rap,2018,155,73,83,-4,12,45,313,1,22,85
19,The Box,Roddy Ricch,melodic rap,2019,117,59,90,-7,79,64,197,10,6,85
20,Ride It,Regard,dance pop,2019,118,75,88,-4,11,88,158,18,9,85
21,WAP (feat. Megan Thee Stallion),Cardi B,dance pop,2020,133,45,94,-8,8,36,188,2,38,85
22,Breaking Me,Topic,dance pop,2019,122,72,79,-6,13,66,167,22,22,84
23,everything i wanted,Billie Eilish,art pop,2019,120,23,70,-14,11,24,245,90,10,84
24,Don't Start Now,Dua Lipa,dance pop,2020,124,79,79,-5,10,68,183,1,8,84
25,Say So,Doja Cat,dance pop,2019,111,67,79,-5,9,78,238,26,16,84
26,Falling,Trevor Daniel,alternative r&b,2020,127,43,79,-9,9,24,159,12,4,84
27,If the World Was Ending (feat. Julia Michaels),JP Saxe,alt z,2019,76,47,46,-10,11,60,209,87,13,83
28,ROXANNE,Arizona Zervas,pop rap,2019,117,60,62,-6,46,46,164,5,15,83
29,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,90,52,76,-4,7,93,158,53,6,82
30,ily (i love you baby) (feat. Emilee),Surf Mesa,tropical house,2019,112,77,67,-8,39,33,177,7,9,82
31,Savage Love (Laxed - Siren Beat),Jawsh 685,nz pop,2020,150,48,77,-9,27,76,171,23,8,82
32,Tusa,KAROL G,latin,2019,101,72,80,-3,6,57,201,30,30,82
33,Break My Heart,Dua Lipa,dance pop,2020,113,73,73,-3,35,47,222,17,9,81
34,Hawái,Maluma,latin,2020,180,73,78,-3,6,56,199,19,39,81
35,Señorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,81
36,Sunday Best,Surfaces,bedroom soul,2019,112,53,88,-7,7,69,159,18,6,81
37,Safaera,Bad Bunny,latin,2020,96,83,61,-4,11,69,295,1,38,81
38,Blueberry Faygo,Lil Mosey,melodic rap,2020,99,55,77,-8,13,35,163,21,4,80
39,THE SCOTTS,THE SCOTTS,rap,2020,130,54,72,-8,16,28,166,23,5,80
40,Intentions (feat. Quavo),Justin Bieber,canadian pop,2020,148,55,81,-7,10,87,213,30,6,79
41,Rain On Me (with Ariana Grande),Lady Gaga,art pop,2020,123,86,67,-4,32,65,182,2,4,79
42,Dance Monkey,Tones And I,australian pop,2021,98,59,82,-6,15,51,209,69,9,79
43,Physical,Dua Lipa,dance pop,2020,147,84,65,-4,10,75,194,1,5,78
44,Dynamite,BTS,k-pop,2020,114,77,75,-4,9,74,199,1,10,77
45,Life Is Good (feat. Drake),Future,atl hip hop,2020,142,57,80,-7,15,54,238,7,49,76
46,Yummy,Justin Bieber,canadian pop,2020,146,51,68,-7,12,50,209,35,10,73
47,Toosie Slide,Drake,canadian hip hop,2020,82,49,83,-9,11,85,247,29,21,73
48,RITMO (Bad Boys For Life),Black Eyed Peas,dance pop,2020,105,72,73,-7,73,67,215,3,6,68
49,Supalonely (feat. Gus Dapperton),BENEE,alt z,2020,129,63,86,-5,12,84,223,29,5,65
50,Roses - Imanbek Remix,SAINt JHN,melodic rap,2019,122,72,79,-5,28,89,176,1,5,64